"country","oPos","aPos","bPos","abPos","oNeg","aNeg","bNeg","abNeg"
"Ecuador","75","14","7.1000","0.5000","2","0.7000","0.3000","0.0200"
"Peru","70","18.4000","7.8000","1.6000","1","0.5000","0.2800","0.0200"
"Zimbabwe","63.3000","18.5000","14.6000","0.9900","1","0.5000","0.4000","0.0100"
"Nicaragua","62","20","11","4","1","1","0.7000","0.3000"
"El Salvador","62","23","11","1","1","1","0.7000","0.3000"
"DR Congo","59.5000","21.3000","15.2000","2.4000","1","0.3000","0.2000","0.1000"
"Mexico","59.0900","26.2300","8.5300","1.7300","2","1.2100","0.4000","0.0800"
"Venezuela","58.3000","28.2000","5.6000","1.9000","3","1.8000","0.4000","0.1000"
"Gabon","57.5500","20.5200","17.1900","2.5400","1","0.4800","0.4100","0.0600"
"Honduras","57.5000","27","7.8000","2.5000","2","1.7000","0.6000","0.2000"
"Chile","56.6200","27.1600","8.7800","1.9000","3","1.6300","0.4900","0.1300"
"Colombia","56.3000","26.1100","7.2800","1.4700","5","2.7000","0.7000","0.3100"
"Paraguay","56.0700","28.3200","4.7200","1.3800","5","2.9700","0.4900","0.1500"
"Ghana","53.8000","17.6000","18.3000","2.8000","4","1.3000","1.3000","0.2000"
"Somalia","52.8000","19.3600","12.3200","3.5200","7","2.6400","1.6800","0.4800"
"Egypt","52","24","12.4000","3.8000","5","2","0.6000","0.2000"
"Bolivia","51.5300","29.4500","10.1100","1.1500","4","2.7300","0.5400","0.1000"
"Namibia","50.5800","20.4900","20.2100","1.0200","4","1.7100","1.6900","0.0800"
"Nigeria","50.2300","21.6100","19.5900","3.4700","2","1.1600","1.0500","0.1900"
"Costa Rica","49.7000","28.5000","12.4000","3","3","1.9000","0.9000","0.2000"
"Uganda","49.2900","24.1100","20.2900","4.4100","1","0.4900","0.4100","0.0900"
"Argentina","48.9000","31.5400","8","2.4500","4","3.1600","0.8000","0.2500"
"Bahrain","48.4800","19.3500","22.6100","3.6700","3","1.3300","1.0400","0.2500"
"Sudan","48","27.7000","15.2000","2.8000","3","1.8000","0.8000","0.2000"
"Papua New Guinea","48","37.2000","9.6000","2.8000","1","0.8000","0.4000","0.2000"
"Yemen","47.8400","27.5000","15.3200","2.1400","3","2.1000","1.1700","0.1600"
"Saudi Arabia","47.8000","23.9000","17","4","4","2","1","0.3000"
"Ivory Coast","47.2400","20.1900","21.7000","3.8200","3","1.5400","1.4800","0.3000"
"Ireland","47","26","9","2","8","5","2","1"
"Jamaica","47","23","20","3","3","2","1","0.5000"
"Guinea","46.8800","21.6400","22.8600","4.5200","2","0.9000","1","0.2000"
"Cameroon","46.8300","24.1500","21.0600","4.2900","1","0.9200","0.8000","0.1600"
"Iceland","46.8000","27.2000","9","2","8","4.8000","1.6000","0.4000"
