DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,AT,2021,24.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,BE,2021,25.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,BG,2021,28.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,CY,2021,26.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,CZ,2021,24.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,DE,2021,22.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,DK,2021,21.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,EE,2021,22.1,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,EL,2021,29.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,ES,2021,28.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,EU27_2020,2021,25.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,FI,2021,20.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,FR,2021,23.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,HR,2021,31.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,HU,2021,26.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,IE,2021,27.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,IT,2021,29.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,LT,2021,24.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,LU,2021,26.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,LV,2021,25.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,MT,2021,28.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,NL,2021,22.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,PL,2021,27.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,PT,2021,32.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,RO,2021,25.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,RS,2021,28.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,SE,2021,18.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,SI,2021,28.1,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,F,SK,2021,29.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,AT,2021,26.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,BE,2021,27.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,BG,2021,32.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,CY,2021,28.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,CZ,2021,27.1,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,DE,2021,24.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,DK,2021,21.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,EE,2021,23.2,b
